month_start,avg_vwap_eur_mwh,total_traded_volume_mwh,buy_volume_mwh,sell_volume_mwh,import_volume_mwh,export_volume_mwh,trading_intervals,net_sidc_mwh,avg_spread,median_spread,p10_spread,p90_spread
2021-02-01,51.43492245863761,10244.210000000001,5718.96,4526.325,3827.2749999999996,2638.925,1994.0,1188.3499999999995,-192.43444897959185,-194.49,-263.13,-123.22500000000001
2021-03-01,57.009092129676304,18351.85,8980.25,9371.075,6655.725,7052.075,2754.0,-396.34999999999945,-212.6574255952381,-207.675,-268.894,-159.13200000000003
2021-04-01,66.93799340203233,20961.0,9756.71,11203.525,7575.15,9027.325,2742.0,-1452.175000000001,-248.0058108108108,-247.555,-323.695,-169.93
2021-05-01,63.49829723829505,20942.86,9141.42,11800.899999999998,7116.325,9781.625,2817.0,-2665.3,-233.89888563049854,-240.17000000000002,-316.92,-149.121
2021-06-01,79.99832800195304,18309.83,8881.04,9428.2,6696.5,7249.475,2761.0,-552.9750000000004,-155.29820058997052,-197.455,-330.21299999999997,4.002
2021-07-01,99.7910811232534,22045.96,10925.07,11120.275000000001,7363.9,7565.5,2881.0,-201.60000000000036,-1.908354430379747,-1.0,-13.919999999999987,9.25
2021-08-01,117.60024842650697,21036.0,9032.46,12003.675,4705.025,7682.475,2864.0,-2977.4500000000007,-4.941331444759206,-2.25,-27.214999999999996,13.900000000000006
2021-09-01,146.16477647947215,24207.620000000003,11275.689999999999,12931.0,8034.05,9694.75,2778.0,-1660.6999999999998,-0.5269811320754723,-0.8300000000000125,-15.851999999999995,14.828000000000015
2021-10-01,206.87053759398148,21557.44,10713.82,10843.487500000001,6347.475,6483.05,2763.0,-135.57499999999982,0.3516961651917414,-0.28000000000000114,-34.64500000000001,34.615000000000016
2021-11-01,242.6912276216297,24468.94,11682.57,12786.175000000001,7184.55,8294.0,2681.0,-1109.4499999999998,-0.7721625766871163,0.5749999999999886,-30.911999999999985,25.941000000000003
2021-12-01,285.1664758391178,20562.37,11360.130000000001,9202.025000000001,8021.424999999999,5868.55,2634.0,2152.874999999999,4.394454976303317,2.700000000000017,-26.5,41.396000000000036
2022-01-01,213.07195806133802,21000.67,9212.57,11788.2,5140.1,7721.25,2692.0,-2581.1499999999996,0.7807253086419752,1.0100000000000051,-29.978000000000023,30.923999999999996
2022-02-01,187.13359363327316,19717.510000000002,8245.04,11472.05,4709.349999999999,7941.325000000001,2460.0,-3231.9750000000013,-5.982474576271186,-2.299999999999997,-40.510999999999996,25.834000000000007
2022-03-01,317.282134945519,29878.28,14052.900000000001,15825.25,8913.75,10691.8,2714.0,-1778.0499999999993,-1.1693282442748087,0.40999999999996817,-48.745999999999974,49.17200000000004
2022-04-01,194.40540445301392,19884.510000000002,7989.18,11895.050000000001,5357.7,9268.6,2563.0,-3910.9000000000005,-3.110983870967743,-2.8800000000000097,-48.01199999999998,33.59
2022-05-01,215.28973856961716,21712.090000000004,8513.689999999999,13197.725000000002,5842.275,10531.95,2790.0,-4689.675000000001,-7.1780631276901,-3.8700000000000045,-38.348,23.023999999999972
2022-06-01,234.84312000092768,17246.95,7386.52,9860.25,4543.85,7023.025,2619.0,-2479.1749999999993,-5.301854103343466,-3.825000000000003,-40.92700000000001,30.016000000000016
2022-07-01,367.0207862086615,16879.870000000003,7569.65,9309.7,5132.525000000001,6878.4,2750.0,-1745.874999999999,-20.754300291545192,-6.840000000000003,-107.35,41.01999999999998
2022-08-01,538.4571512319645,21827.33,10686.05,11140.625,7579.049999999999,8039.575000000001,2817.0,-460.52500000000146,-11.008383404864093,-8.009999999999991,-71.60999999999999,51.13799999999999
2022-09-01,387.6989676528409,14685.369999999999,6121.5,8563.075,4746.1,7192.9,2608.0,-2446.7999999999993,-3.5631481481481484,-0.9049999999999727,-70.03499999999998,62.53300000000006
2022-10-01,217.03792901995993,19882.35,7099.64,12780.825,5059.0375,10745.325,2872.0,-5686.2875,0.027958620689655305,-1.0899999999999892,-45.99199999999998,50.211999999999975
2022-11-01,239.04744622780322,16670.79,7476.3,9192.949999999999,6366.925,8088.725,2754.0,-1721.8000000000002,0.2140915593705291,-0.8300000000000125,-35.94,35.47199999999999
2022-12-01,245.53620971747569,22569.03,9195.45,13371.925,6978.0,11160.125,2897.0,-4182.125,-2.2133287482806066,-0.010000000000000009,-57.17800000000001,51.50799999999998
2023-01-01,137.13244296761653,21628.940000000002,8858.07,12769.325,7130.15,11046.650000000001,2861.0,-3916.500000000002,6.220532212885154,3.145000000000003,-30.377,44.004999999999995
2023-02-01,144.25987238356007,22117.84,9192.2,12924.175,8107.75,11844.55,2615.0,-3736.7999999999993,-0.729025157232704,-0.11499999999999488,-27.909999999999997,28.295
2023-03-01,113.81108299083283,23649.6,10379.32,13267.975,9133.1,12026.625,2898.0,-2893.5249999999996,1.4527620396600562,1.2499999999999858,-25.845,28.830000000000013
2023-04-01,106.90456052313407,20065.22,8412.5,11650.9,7135.125000000001,10378.4,2789.0,-3243.2749999999987,3.0324450951683746,1.8400000000000034,-27.696,37.047999999999995
2023-05-01,99.20348071249425,20621.64,9495.39,11124.425000000001,8403.55,10037.65,2852.0,-1634.1000000000004,2.5899559471365636,1.009999999999991,-23.700000000000003,31.419999999999987
2023-06-01,104.34340031124735,17355.97,7715.0599999999995,9638.875,6881.799999999999,8810.2,2753.0,-1928.4000000000015,7.690868902439025,2.4100000000000037,-20.820000000000004,44.595
2023-07-01,112.27276489043464,27130.84,13369.15,13760.375,11744.025,12141.175,2900.0,-397.14999999999964,-0.47723646723646723,0.1750000000000007,-29.176000000000013,29.57499999999999
2023-08-01,117.93151712929067,27822.81,13454.45,14366.725,11735.2,12653.2,2921.0,-918.0,-1.4271769662921345,-1.1699999999999982,-40.604,33.556999999999995
2023-09-01,117.22253076030827,27337.989999999998,12283.86,15052.825,11024.949999999999,13799.475,2837.0,-2774.5250000000015,-4.061572052401747,-3.6299999999999955,-42.312,28.835999999999988
2023-10-01,123.39444993052298,25850.280000000002,12071.69,13777.462499999998,10799.625,12511.2375,2903.0,-1711.6124999999993,3.1922150997150998,2.3699999999999974,-30.179,35.302999999999976
2023-11-01,113.51207827013556,22081.729999999996,11416.899999999998,10663.85,10092.4,9345.075,2813.0,747.3249999999989,4.804765395894428,2.969999999999999,-29.823,42.40900000000002
2023-12-01,86.13664851033624,24230.3,11207.89,13021.425,9933.95,11470.925,2929.0,-1536.9749999999985,1.6452298850574711,2.6900000000000013,-30.839999999999996,37.07
2024-01-01,94.73160018412119,30414.75,12433.47,17980.425,11550.3,17103.899999999998,2959.0,-5553.5999999999985,5.457386519944979,3.960000000000008,-20.795999999999996,33.96599999999999
2024-02-01,72.37701054442356,28251.9,10373.76,17876.899999999998,9337.724999999999,16846.7,2781.0,-7508.975000000002,1.9164723032069972,2.345000000000006,-26.345,30.175000000000004
2024-03-01,67.74882316507731,28868.11,10898.87,17968.15,9764.325,16839.825,2968.0,-7075.5,7.379561527581329,5.52000000000001,-22.767999999999997,38.739999999999995
2024-04-01,66.94261241550811,30545.83,12658.83,17886.15,11190.825,16424.350000000002,2872.0,-5233.5250000000015,7.917370892018779,4.75,-23.091999999999995,43.14600000000001
2024-05-01,103.4483414082424,43544.35,26434.809999999998,17108.45,12822.125,12354.224999999999,2912.0,467.90000000000146,11.459340974212035,3.7449999999999974,-27.434999999999995,61.162000000000006
2024-06-01,147.70485578618397,70215.88,58199.0,12015.650000000001,17142.35,0.0,2670.0,17142.35,6.218350515463917,2.8100000000000023,-38.394,50.47600000000001
2024-07-01,252.38416211882492,78055.34,66148.11,11905.325,14949.575,0.0,2726.0,14949.575,-5.656425531914894,-2.780000000000001,-60.768,48.966
2024-08-01,205.661419582579,87567.22,75120.12,12445.5,21845.075,0.0,2787.0,21845.075,0.4094677871148455,1.9050000000000011,-52.661,43.84700000000005
2024-09-01,167.42917317508636,70224.42000000001,58008.119999999995,12215.025000000001,17343.775,0.0,2640.0,17343.775,-2.114039334341906,0.4299999999999926,-44.45,41.04999999999998
2024-10-01,124.4141869886804,67421.14,53400.630000000005,14019.375,16473.6125,0.0,2742.0,16473.6125,3.80299711815562,1.1250000000000036,-26.099999999999994,34.00100000000001
2024-11-01,233.97443777591928,110172.62,89585.38,20586.149999999998,16555.524999999998,0.0,2797.0,16555.524999999998,0.03703808180536031,-0.46000000000000796,-46.726000000000006,35.21600000000002
2024-12-01,179.86249796251434,107424.07,87025.17,20397.899999999998,18288.75,0.0,2930.0,18288.75,1.6906368563685639,1.7850000000000108,-24.888999999999992,26.801000000000013
2025-01-01,153.92805875712241,105729.48000000001,86038.88,19690.125,23767.25,0.0,2915.0,23767.25,-2.220067750677507,-0.7700000000000031,-32.352,22.558000000000003
2025-02-01,168.5890763693609,112523.66,91641.54,20881.45,19834.550000000003,0.0,2665.0,19834.550000000003,0.49850074962518764,-0.8200000000000216,-36.205999999999996,37.391999999999975
2025-03-01,132.4719434113516,88431.87,69928.48,18502.5,19071.75,0.0,2863.0,19071.75,1.1135127478753541,0.4449999999999932,-27.545,27.360000000000003
2025-04-01,115.50658096946154,78730.3,58375.07,20354.574999999997,22646.25,0.0,2710.0,22646.25,2.3236080870917575,-0.020000000000010232,-27.868000000000002,34.30000000000005
2025-05-01,119.24537308418167,84409.1,62087.39,22320.375,21411.824999999997,0.0,2876.0,21411.824999999997,4.696788321167883,3.549999999999997,-25.253999999999998,38.79600000000002
2025-06-01,130.5461756420684,79205.73999999999,58005.259999999995,21199.15,22017.65,0.0,2722.0,22017.65,3.4264364207221356,3.8900000000000006,-33.61600000000001,32.85199999999998
2025-07-01,130.05264204225168,94286.91,72142.78,22143.824999999997,27203.850000000002,0.0,2927.0,27203.850000000002,-2.472162534435262,0.865000000000002,-34.07,23.39
2025-08-01,113.32079284517924,66529.13,50724.67,15803.1,19276.875,0.0,2732.0,19276.875,3.939362962962963,4.290000000000006,-24.342,28.33400000000001
2025-09-01,137.59327228075549,76507.28,60834.45,15671.825,16099.8,0.0,2660.0,16099.8,4.420221893491124,2.224999999999999,-32.464999999999996,44.03500000000001
2025-10-01,158.8072186284338,101493.01999999999,85509.34,15983.224999999999,14957.737500000001,0.0,2910.0,14957.737500000001,1.4153519211152672,-1.7199999999999989,-50.23000000000002,54.71000000000001
2025-11-01,133.83968470598646,100359.66,81203.03,19156.2,15789.224999999999,0.0,2851.0,15789.224999999999,-2.981479805013928,-2.920000000000009,-35.126,30.73700000000001
2025-12-01,130.83518950577204,97748.20999999999,83073.88,14673.875,14839.4,0.0,2953.0,14839.4,-0.8303505224132122,-2.549999999999997,-30.262,29.444
