month_start,avg_long_spread,avg_short_spread,p50_long_spread,p50_short_spread,p90_short_spread,avg_ls_spread,imbalance_cost_p50_eur_mwh,imbalance_cost_p90_eur_mwh,imbalance_cost_avg_eur_mwh
2015-01-01,163.55156123822343,70.91448183041723,178.9,54.629999999999995,169.27,234.46604306864063,5.83825,8.320539030955587,5.861651076716017
2015-02-01,158.3467113095238,77.33950892857143,178.9,61.075,180.557,235.68622023809525,5.999375000000001,8.472592782738095,5.892155505952381
2015-03-01,137.48869448183044,91.14895020188425,145.42,79.08000000000001,188.85400000000004,228.63764468371465,5.612500000000001,8.158567362045762,5.715941117092868
2015-04-01,94.08618055555556,129.71251388888888,106.555,121.84,237.78,223.79869444444444,5.709875,8.296654513888889,5.594967361111111
2015-05-01,94.60841397849462,121.19663978494624,95.02,120.875,175.558,215.80505376344084,5.397375,6.754160349462366,5.395126344086022
2015-06-01,134.1115,93.35344444444443,138.39499999999998,89.655,166.652,227.46494444444446,5.70125,7.519087500000001,5.686623611111111
2015-07-01,173.46899193548387,72.37633064516129,178.9,68.19000000000001,128.18500000000003,245.84532258064513,6.177250000000001,7.541349798387097,6.146133064516129
2015-08-01,167.1161424731183,66.81978494623655,171.58499999999998,63.474999999999994,116.45700000000001,233.9359274193548,5.8765,7.0893285618279585,5.848398185483871
2015-09-01,169.2607183908046,89.6462356321839,178.74,87.69999999999999,137.25,258.9069540229885,6.6610000000000005,7.662767959770116,6.472673850574714
2015-10-01,161.89873825503355,81.30289932885906,165.82,73.57,141.254,243.20163758389262,5.98475,7.578818456375839,6.080040939597315
2015-11-01,144.06681944444443,122.22202777777778,149.705,114.62500000000001,191.207,266.2888472222222,6.608250000000002,8.38184548611111,6.657221180555556
2015-12-01,154.57632183908046,101.20836206896553,155.015,79.88499999999999,208.54000000000002,255.78468390804596,5.8725,9.077908045977011,6.3946170977011505
2016-01-01,138.68130376344087,139.17965053763442,141.45,135.45499999999998,223.716,277.86095430107525,6.922625,9.059932594086021,6.9465238575268815
2016-02-01,110.63943965517242,148.88045977011495,117.44,148.345,253.97500000000002,259.51989942528735,6.644625,9.11536099137931,6.487997485632184
2016-03-01,112.25870794078062,128.74059219380888,111.58000000000001,132.49,200.1,240.9993001345895,6.101750000000001,7.808967698519516,6.024982503364738
2016-04-01,99.41081944444446,115.29775000000001,96.43,117.715,178.227,214.70856944444446,5.353625000000001,6.9409454861111115,5.367714236111112
2016-05-01,94.43842741935484,123.31836021505376,96.805,122.59,183.98499999999999,217.7567876344086,5.484875000000001,6.960585685483871,5.443919690860215
2016-06-01,114.89333333333333,103.413,112.51,100.35000000000001,154.92300000000003,218.30633333333333,5.3215,6.745408333333335,5.457658333333334
2016-07-01,114.24424731182796,112.64512096774193,117.875,109.35999999999999,175.18200000000002,226.8893682795699,5.680875,7.2356561827957,5.672234206989248
2016-08-01,120.132311827957,113.81307795698923,118.17,109.21,181.70000000000005,233.94538978494623,5.6845,7.545807795698926,5.848634744623656
2016-09-01,147.89673611111112,124.1779861111111,148.9,120.67999999999999,199.008,272.0747222222222,6.7395,8.672618402777777,6.801868055555556
2016-10-01,147.66480536912752,129.75187919463087,154.79,121.51000000000002,205.30200000000002,277.4166845637584,6.907500000000001,8.824170134228188,6.93541711409396
2016-11-01,137.25683333333333,117.39101388888889,148.63,112.20500000000001,188.876,254.6478472222222,6.520875000000001,8.153320833333334,6.366196180555556
2016-12-01,167.1271505376344,124.18479838709678,160.9,116.595,202.18900000000002,291.31194892473115,6.937375,9.232903763440861,7.28279872311828
2017-01-01,183.9744623655914,172.55862903225807,182.225,157.77999999999997,305.967,356.53309139784943,8.500125,12.248536559139787,8.913327284946238
2017-02-01,149.56861607142858,139.65537202380952,151.43,131.0,219.059,289.2239880952381,7.0607500000000005,9.215690401785714,7.230599702380953
2017-03-01,139.797133243607,113.6028129205922,144.18,110.0,192.29600000000002,253.3999461641992,6.354500000000001,8.302328331090175,6.3349986541049805
2017-04-01,134.33495833333333,127.68695833333334,143.77999999999997,124.91,195.038,262.02191666666664,6.717249999999999,8.234323958333334,6.550547916666668
2017-05-01,151.49315860215054,110.71930107526882,167.17,102.045,191.54600000000002,262.21245967741936,6.7303749999999996,8.575978965053764,6.555311491935484
2017-06-01,159.69294444444444,114.73390277777779,164.905,109.435,187.55499999999998,274.4268472222222,6.858500000000001,8.681198611111112,6.860671180555556
2017-07-01,178.8736827956989,112.49051075268818,187.065,94.95500000000001,225.0400000000002,291.3641935483871,7.0504999999999995,10.097842069892478,7.284104838709678
2017-08-01,172.34391129032258,123.82893817204301,178.85000000000002,109.64999999999999,228.25600000000023,296.1728494623656,7.2125,10.014997782258071,7.404321236559141
2017-09-01,162.55311111111112,92.95195833333334,165.47000000000003,92.64,144.697,255.50506944444444,6.452750000000001,7.681252777777778,6.3876267361111125
2017-10-01,163.4870201342282,100.0910067114094,178.0,95.88,185.63000000000002,263.57802684563757,6.847,8.727925503355706,6.589450671140941
2017-11-01,184.3201388888889,80.05658333333334,198.95,71.67000000000002,176.59500000000006,264.3767222222222,6.7655,9.022878472222223,6.6094180555555555
2017-12-01,140.33012482662969,114.633786407767,159.13,102.96999999999997,209.0,254.96391123439668,6.552499999999999,8.733253120665742,6.374097780859917
2018-01-01,133.63674293405114,122.09959623149395,152.53,106.82,240.0,255.7363391655451,6.483750000000001,9.34091857335128,6.393408479138627
2018-02-01,133.4999107142857,109.80550595238095,149.18,100.74500000000002,189.65699999999998,243.30541666666664,6.248125000000001,8.078922767857142,6.082635416666666
2018-03-01,131.5443203230148,114.70946164199194,138.9,110.38,196.49600000000007,246.25378196500674,6.232,8.201008008075371,6.156344549125169
2018-04-01,95.45366666666666,122.14261111111111,109.315,114.825,230.23700000000005,217.5962777777778,5.6035,8.14226666666667,5.439906944444445
2018-05-01,150.7913440860215,108.75362903225806,159.08,99.35499999999999,184.37,259.5449731182796,6.460875000000001,8.379033602150537,6.48862432795699
2018-06-01,160.41652777777776,104.331,165.175,101.4,172.48000000000002,264.7475277777778,6.6643750000000015,8.322413194444445,6.618688194444444
2018-07-01,154.5350806451613,95.34841397849462,167.9,90.96000000000001,153.0,249.88349462365593,6.471500000000001,7.688377016129033,6.247087365591398
2018-08-01,187.35109722222222,87.79945833333333,193.735,82.91,143.512,275.15055555555557,6.916125,8.271577430555556,6.87876388888889
2018-09-01,254.90905555555554,192.8206111111111,254.3,166.845,449.99999999999994,447.7296666666667,10.528625,17.62272638888889,11.193241666666665
2018-10-01,243.0023355704698,371.41342281879196,235.41,443.84,450.0,614.4157583892618,16.98125,17.325058389261745,15.360393959731546
2018-11-01,245.8227222222222,399.7827222222222,240.195,431.46999999999997,449.84000000000003,645.6054444444444,16.791625,17.391568055555556,16.14013611111111
2018-12-01,272.86392473118275,402.32983870967746,275.17999999999995,422.20500000000004,450.0,675.1937634408602,17.434625,18.07159811827957,16.879844086021507
2019-01-01,314.9511424731183,335.1748521505376,308.4,393.49,450.0,650.1259946236559,17.547250000000002,19.123778561827958,16.2531498655914
2019-02-01,220.0142261904762,367.4084375,219.385,450.0,450.0,587.4226636904762,16.734625,16.750355654761904,14.685566592261905
2019-03-01,176.76456258411844,349.72138627187076,186.04,450.0,450.0,526.4859488559892,15.901,15.669114064602963,13.16214872139973
2019-04-01,211.02647222222222,359.81533333333334,204.24,450.0,450.0,570.8418055555555,16.356,16.525661805555554,14.271045138888889
2019-05-01,188.77379032258065,368.0667876344086,192.65499999999997,450.0,450.0,556.8405779569893,16.066375,15.969344758064517,13.921014448924732
2019-06-01,179.32104166666664,356.93656944444444,177.9,450.0,450.0,536.257611111111,15.6975,15.733026041666665,13.40644027777778
2019-07-01,238.78400537634408,400.8376344086022,243.905,450.0,450.00000000000006,639.6216397849462,17.347625,17.219600134408605,15.990540994623657
2019-08-01,276.75584677419357,394.2807795698925,262.72,450.0,450.0,671.036626344086,17.818,18.168896169354838,16.775915658602152
2019-09-01,273.20991666666663,372.94874999999996,254.935,450.0,450.0,646.1586666666667,17.623375,18.080247916666668,16.153966666666665
2019-10-01,261.7913691275168,391.1704966442953,271.13,450.0,450.00000000000006,652.9618657718121,18.02825,17.794784228187922,16.324046644295304
2019-11-01,198.13002777777777,352.41533333333336,200.925,450.0,450.0,550.5453611111111,16.273125,16.203250694444446,13.763634027777778
2019-12-01,185.70125000000002,353.14762096774194,177.66000000000003,450.0,450.0,538.848870967742,15.691500000000003,15.892531250000003,13.47122177419355
2020-01-01,239.62915322580645,366.668373655914,233.70000000000002,450.0,450.0,606.2975268817204,17.0925,17.240728830645164,15.157438172043014
2020-02-01,187.3233620689655,366.2846695402299,186.99,450.0,450.0,553.6080316091955,15.924750000000001,15.933084051724137,13.840200790229886
2020-03-01,136.94946164199192,370.48888290713325,132.17,450.0,450.0,507.4383445491252,14.55425,14.673736541049799,12.68595861372813
2020-04-01,115.45341666666667,367.3485,115.72,450.0,450.0,482.80191666666667,14.143,14.136335416666668,12.070047916666667
2020-05-01,116.97182795698924,381.5070698924731,109.56,450.0,450.00000000000006,498.4788978494623,13.988999999999999,14.174295698924732,12.461972446236558
2020-06-01,143.97531944444444,367.47662499999996,144.74,450.0,450.0,511.4519444444444,14.868500000000001,14.849382986111113,12.78629861111111
2020-07-01,174.3889919354839,342.1375806451613,182.33,448.0,450.0,516.526572580645,15.758250000000002,15.609724798387099,12.91316431451613
2020-08-01,176.51247311827956,361.4444220430108,178.09,448.0,450.0,537.9568951612903,15.652250000000002,15.66281182795699,13.448922379032258
2020-09-01,241.06723611111113,419.4376805555556,234.265,466.495,550.0,660.5049166666666,17.519000000000002,19.77668090277778,16.51262291666667
2020-10-01,220.1791543624161,452.5697315436242,215.11,450.0,663.284,672.7488859060403,16.627750000000002,22.086578859060406,16.81872214765101
2020-11-01,232.79594444444442,420.7803333333334,230.405,449.99999999999994,550.0,653.5762777777777,17.010125,19.569898611111114,16.339406944444445
2020-12-01,270.28434139784946,418.6035080645161,234.215,450.0,550.0,688.8878494623656,17.105375000000002,20.507108534946237,17.22219623655914
2021-01-01,263.7861424731183,430.53940860215056,265.315,450.85,597.7620000000002,694.3255510752689,17.904125,21.538703561827962,17.35813877688172
2021-02-01,26.53285714285714,88.38400297619049,185.51999999999998,-92.565,577.91,114.91686011904763,2.3238749999999997,15.111071428571428,2.8729215029761908
2021-03-01,-20.964041049798116,144.5793203230148,196.31,304.865,691.1120000000001,123.61527927321669,12.529375000000002,16.75369897375505,3.0903819818304172
2021-04-01,148.77123958333334,-15.001263888888886,283.32,-243.99,685.62,133.76997569444444,0.9832499999999996,20.859780989583335,3.344249392361111
2021-05-01,229.5425067204301,-181.7067876344086,293.71999999999997,-285.325,546.0,47.835719086021506,0.20987499999999956,19.388562668010753,1.1958929771505376
2021-06-01,-143.1329548611111,218.39256944444443,51.07,285.015,962.536,75.25961458333333,8.402125,20.485076128472222,1.8814903645833334
2021-07-01,-493.7263172043011,617.4305174731182,-735.73,781.26,1178.955,123.7042002688172,1.1382499999999993,17.130717069892473,3.092605006720429
2021-08-01,-262.361125672043,371.1740389784946,49.84,522.26,1116.3,108.8129133064516,14.302500000000002,21.348471858198923,2.7203228326612905
2021-09-01,-193.19567708333335,316.1543229166667,76.285,-45.129999999999995,1203.03,122.95864583333334,0.7788750000000001,25.24585807291667,3.0739661458333334
2021-10-01,-595.097389261745,814.0369093959732,-827.265,1166.2350000000001,1891.6910000000003,218.9395201342282,8.474250000000003,32.41484026845639,5.4734880033557065
2021-11-01,-679.1829409722222,914.6503680555555,-1235.4,1419.085,1979.8949999999998,235.46742708333332,4.5921249999999985,32.51780147569444,5.8866856770833325
2021-12-01,-821.6757795698925,1181.4814045698924,-1344.865,1555.21,2505.815,359.805625,5.258625000000001,42.10348051075269,8.995140625
2022-01-01,-716.8762096774194,904.5602452956989,-54.75500000000001,198.26999999999998,2883.3399999999997,187.68403561827955,3.587875,54.16159475806451,4.692100890456987
2022-02-01,-464.63735863095235,643.435662202381,-36.489999999999995,52.964999999999996,2781.2130000000016,178.79830357142856,0.41187500000000005,57.914391034226234,4.469957589285715
2022-03-01,-737.0040948855989,978.2747510094213,-227.605,472.1,3104.5330000000004,241.27065612382233,6.112375000000001,59.188222627860036,6.03176640309556
2022-04-01,-289.06193055555553,409.20620486111113,-16.19999999999999,49.455000000000005,2334.970999999999,120.14427430555556,0.8313750000000004,51.14772673611109,3.00360685763889
2022-05-01,-498.7265389784946,602.1162802419356,-224.44,282.54499999999996,2486.0950000000003,103.38974126344085,1.4526249999999992,49.68421152553765,2.584743531586024
2022-06-01,-877.1957673611112,1053.8067118055556,116.375,-62.6,3320.0,176.61094444444444,1.344375,61.07010581597222,4.41527361111111
2022-07-01,-1065.9487331989249,1325.746061827957,-1495.15,1905.7949999999998,3272.7250000000004,259.7973286290322,10.266124999999995,55.16940667002689,6.494933215725803
2022-08-01,-1325.9137802419355,1550.9886995967743,-2340.63,2609.59,3634.465,225.0749193548387,6.724000000000001,57.71378049395162,5.626872983870971
2022-09-01,-255.51294444444446,419.08693402777783,301.77,-276.67,3064.12,163.57398958333334,0.6274999999999992,70.21517638888888,4.0893497395833345
2022-10-01,-7.23726510067114,119.20590939597315,109.16000000000001,-96.01499999999999,1676.88,111.96864429530201,0.3286250000000006,41.74106837248323,2.7992161073825503
2022-11-01,-270.0414861111111,589.6440451388889,93.04500000000002,-17.685000000000002,2007.55,319.6025590277778,1.8840000000000003,43.43771284722223,7.990063975694446
2022-12-01,-716.495127688172,912.7191028225806,-459.93,1166.1,2574.58,196.22397513440862,17.654249999999998,46.4521218077957,4.905599378360214
2023-01-01,-157.72737903225806,224.20251008064517,133.89499999999998,-124.52000000000001,1732.83,66.4751310483871,0.2343749999999993,39.37756552419355,1.661878276209678
2023-02-01,-254.88653645833332,388.7986681547619,266.005,-207.055,1872.91,133.91213169642856,1.47375,40.450586588541675,3.347803292410715
2023-03-01,-344.2793573351279,440.20981493943475,84.62,-56.290000000000006,1888.98,95.93045760430687,0.70825,38.61751606662181,2.398261440107672
2023-04-01,-197.4508854166667,263.88638541666666,89.715,-83.4,1875.73,66.43549999999999,0.15787499999999996,41.95697786458334,1.6608874999999992
2023-05-01,-19.137328629032258,92.85631048387097,91.49000000000001,-89.9,1861.1950000000002,73.71898185483872,0.03975000000000009,46.0514417842742,1.842974546370968
2023-06-01,-248.6156111111111,340.80607638888887,87.35000000000001,-80.53,1908.739,92.19046527777778,0.1705000000000002,41.503084722222226,2.3047616319444444
2023-07-01,-290.2385752688172,382.3962096774194,121.2,-105.97,1898.13,92.15763440860215,0.38075000000000014,40.19728561827958,2.3039408602150546
2023-08-01,-330.9619556451613,546.3872244623657,112.715,-80.505,1940.7,215.42526881720428,0.8052500000000002,40.24345110887097,5.385631720430109
2023-09-01,29.91427083333333,131.64399652777777,191.475,-165.60000000000002,2016.3,161.55826736111112,0.6468749999999993,51.155356770833336,4.038956684027777
2023-10-01,-240.71386577181207,408.33152348993286,143.26,-120.45499999999998,2378.038,167.6176577181208,0.5701250000000002,53.4331033557047,4.19044144295302
2023-11-01,-665.3310243055556,815.3524027777778,-949.81,1042.6599999999999,2599.391,150.02137847222224,2.321249999999998,48.35149939236111,3.7505344618055547
2023-12-01,-357.78756720430107,516.9691834677419,119.25,-58.074999999999996,2792.875,159.18161626344084,1.5293750000000002,60.877185819892475,3.9795404065860214
2024-01-01,-471.71361223118276,623.4648689516129,-795.7149999999999,872.76,3225.57,151.7512567204301,1.9261250000000019,68.84640969422044,3.7937814180107523
2024-02-01,573.1621336206897,-373.94502155172415,923.3100000000001,-861.5899999999999,4908.75,199.21711206896555,1.5430000000000037,137.04780334051725,4.980427801724139
2024-03-01,1026.2823889636607,-647.2450908479138,741.59,-547.3399999999999,2927.488,379.037298115747,4.856250000000003,98.84425972409151,9.475932452893671
2024-04-01,518.5978784722222,-94.76890625,542.8,-20.314999999999998,2919.9,423.8289722222222,13.062124999999998,85.96244696180557,10.595724305555557
2024-05-01,1167.6025470430109,-543.8157862903225,799.21,-214.26,2999.9,623.7867607526881,14.623750000000001,104.18756367607529,15.594669018817209
2024-06-01,-25.736611111111106,674.8558506944444,-1095.095,1404.665,6909.918,649.1192395833333,7.739249999999998,172.1045347222222,16.227980989583333
2024-07-01,-357.9404939516129,529.2637063172043,-683.735,768.19,1777.495,171.3232123655914,2.111375000000001,35.48886265120967,4.283080309139786
2024-08-01,-169.28503360215055,316.3416565860215,73.56,7.269999999999994,1324.9050000000002,147.05662298387097,2.02075,28.89049915994624,3.6764155745967737
2024-09-01,-52.474496527777795,170.53502777777777,56.910000000000004,188.075,1620.3079999999993,118.06053125000001,6.124625,39.19583758680554,2.9515132812499996
2024-10-01,-90.2538456375839,233.44825503355707,-419.42999999999995,521.91,1844.6799999999996,143.19440939597317,2.5620000000000007,43.86065385906039,3.5798602348993303
2024-11-01,-1015.6676770833334,1075.2536388888889,-820.645,835.56,2906.429,59.585961805555556,0.3728749999999991,47.26903307291667,1.4896490451388873
2024-12-01,-681.8829469086021,733.177557123656,-587.4100000000001,610.62,2186.205,51.294610215053766,0.580249999999998,37.60805132728495,1.282365255376348
2025-01-01,-131.74059475806453,171.5113810483871,-21.745000000000005,65.16499999999999,1041.4650000000001,39.77078629032258,1.0854999999999997,22.743110131048393,0.9942696572580645
2025-02-01,-651.3829724702381,739.0392224702381,-799.155,828.165,2159.5590000000007,87.65625,0.7252499999999998,37.704400688244064,2.19140625
2025-03-01,-245.51032974427994,303.8567597577389,-385.90999999999997,456.33,1546.934,58.34643001345895,1.7605000000000004,32.535591756393,1.4586607503364748
2025-04-01,-174.54168055555556,298.7845798611111,-125.46,207.755,1597.5359999999998,124.24289930555555,2.057375,35.574857986111105,3.1060724826388895
2025-05-01,-438.163188844086,566.0721404569892,-196.39,357.165,2139.64,127.90895161290322,4.019375000000001,42.536920278897846,3.1977237903225815
2025-06-01,-166.1691701388889,207.5558923611111,-104.04499999999999,117.335,1125.551,41.38672222222222,0.33225000000000016,23.98454574652778,1.0346680555555552
2025-07-01,-329.2387197580645,400.2844791666667,-235.255,281.42499999999995,1345.0700000000002,71.04575940860215,1.154249999999999,25.395782006048393,1.7761439852150547
2025-08-01,-45.82876008064517,146.09543010752688,-141.885,160.485,802.345,100.26667002688171,0.4650000000000006,18.91290599798387,2.506666750672043
2025-09-01,-322.06325347222224,379.5646875,-216.40500000000003,248.495,1224.341,57.501434027777776,0.8022499999999995,22.556943663194446,1.4375358506944438
2025-10-01,-589.0844093959731,691.5535973154363,-332.195,507.645,1686.0449999999996,102.46918791946308,4.3862499999999995,27.424014765100665,2.5617296979865785
2025-11-01,-590.3915520833333,633.4251006944445,-243.39000000000001,291.295,1645.4879999999998,43.03354861111111,1.1976250000000002,26.37741119791666,1.07583871527778
2025-12-01,-517.3133669354839,563.8550772849462,-209.59,235.10499999999996,1421.895,46.54171034946237,0.637874999999999,22.614540826612902,1.163542758736557
2026-01-01,-815.4804502688171,815.4804502688171,-667.468,667.468,1861.5484999999999,0.0,0.0,26.15170124327957,0.0
2026-02-01,-337.5415621141976,337.5415621141976,-268.93899999999996,268.93899999999996,1011.7935000000001,0.0,0.0,16.856298447145065,0.0
